指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
居民消费水平 (元),38243.0,36302.0,33012.0,31893.0,27992.0,28118.0,25986.0,23642.0,21480.0,0.8347870815229882,0.8284441636681591,0.8234990917234235,0.8129650614028131,0.8032999308914996,0.7838940484818298,0.7703845478385368,0.7821970703955763,0.8142361904761903
城镇居民消费水平 (元),45791.0,43797.0,40066.0,39205.0,34823.0,35841.0,33700.0,30196.300000000003,26356.300000000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
农村居民消费水平 (元),23204.0,21953.0,19929.0,18720.0,16209.0,15460.0,13985.0,12145.0,10609.0,0.5056088778960962,0.5000045778742184,0.49614420329381614,0.4760105693157314,0.4640059894033633,0.42969630999717384,0.4131619601551407,0.400145549766057,0.4001028571428571
居民消费水平指数 (上年=100),105.2,109.3,101.5,112.1,97.3,105.6,107.4,106.3,108.7,1.532181278933608e-05,1.6022559764147984e-05,3.2527811278643164e-05,3.581084710558806e-05,6.622897949781148e-05,4.756961253151455e-05,8.036838486335894e-05,9.304551254785187e-05,9.142857142857164e-05
城镇居民消费水平指数 (上年=100),104.5,108.6,100.2,110.7,95.0,103.9,104.7,103.5,106.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
农村居民消费水平指数 (上年=100),105.5,109.7,104.4,113.9,102.3,107.8,112.4,110.8,110.8,2.188830398476574e-05,2.517830820080407e-05,0.00010508985182330899,8.185336481277328e-05,0.00021020502188435835,0.00010913028757229858,0.00022919872720291237,0.00024258294342832825,0.0001714285714285714
居民消费水平指数 (1978=100),2823.5,2682.7,2454.4,2417.4,2155.8,2215.4,2097.1,1953.1,1837.8,0.05951429853457805,0.05891953012699023,0.058905364086293786,0.0590034864417575,0.05934116563003917,0.05908425697664332,0.05930591481546525,0.06146320714589536,0.06596190476190475
城镇居民消费水平指数 (1978=100),1469.0,1406.1,1294.7,1291.6,1166.4,1227.5,1181.7,1128.9,1090.7,0.029866590787212852,0.029698958991402753,0.029888054286414882,0.03020644953356371,0.030851186362589267,0.031440715670829476,0.03205805573993981,0.03407459591663122,0.03750095238095238
农村居民消费水平指数 (1978=100),2366.9,2242.6,2044.7,1958.1,1718.5,1680.3,1558.8,1386.7,1251.5,0.04952009893513401,0.048845917909559514,0.0486540992548629,0.04725497067347413,0.04674902096291177,0.04411102187922355,0.04328284015918893,0.04264142917907273,0.04362666666666666
