指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
旅客运输总量,亿人次,170.8,8.5,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
铁路,亿人次,43.1,11.9,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
公路,亿人次,117.8,7.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
水路,亿人次,2.6,0.8,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
民航,亿人次,7.3,17.9,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
旅客运输周转量,亿人公里,33885.5,13.6,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
铁路,亿人公里,15799.1,7.3,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
公路,亿人公里,5117.0,8.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
水路,亿人公里,54.7,1.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
民航,亿人公里,12914.7,25.3,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,23
